11:58:25 **** Build of configuration Debug for project lab10 ****
cs-make all 
'Building file: ../lab10.c'
'Invoking: ARM Sourcery Windows GCC C Compiler'
arm-none-eabi-gcc -I../../BSP/include -O0 -Wall -Wa,-adhlns="lab10.o.lst" -c -fmessage-length=0 -mapcs-frame -MMD -MP -MF"lab10.d" -MT"lab10.d" -mcpu=arm7tdmi -g3 -gdwarf-2 -o "lab10.o" "../lab10.c"
../lab10.c:27:6: warning: return type of 'main' is not 'int'
'Finished building: ../lab10.c'
' '
'Building target: lab10.elf'
'Invoking: ARM Sourcery Windows GCC C Linker'
arm-none-eabi-gcc -T"../lab10.ld" -nostartfiles -L../../BSP/Debug -Wl,-Map,lab10.map -mcpu=arm7tdmi -g3 -gdwarf-2 -o "lab10.elf"  ./lab10.o   -lBSP
./lab10.o: In function `main':
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:31: undefined reference to `sys_init'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:32: undefined reference to `uart0_init'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:33: undefined reference to `timers_init'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:34: undefined reference to `lcd_init'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:35: undefined reference to `ts_init'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:37: undefined reference to `lcd_clear'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:38: undefined reference to `lcd_on'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:39: undefined reference to `ts_on'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:42: undefined reference to `uart0_puts'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:46: undefined reference to `ts_getpostime'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:47: undefined reference to `uart0_puts'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:48: undefined reference to `uart0_putint'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:49: undefined reference to `uart0_puts'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:50: undefined reference to `uart0_putint'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:51: undefined reference to `uart0_puts'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:52: undefined reference to `uart0_putint'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:53: undefined reference to `uart0_puts'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:56: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:57: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:58: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:62: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:63: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:64: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:68: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:69: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:70: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:74: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:75: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:76: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:80: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:81: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:82: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:86: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:87: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:88: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:92: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:93: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:94: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:98: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:99: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:100: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:104: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:105: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:106: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:110: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:111: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:112: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:116: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:117: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:118: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:122: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:123: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:124: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:128: undefined reference to `lcd_putchar_x2'
